z1,z2,z3,id
-1.3908361,0.051982403,-1.355618,529366
-2.6033669,-0.40040362,-1.0629547,529369
-2.9277236,0.15372084,-2.5721257,529370
0.5867965,-0.4168746,2.0016801,529371
0.9069924,-0.99712646,0.3855216,529403
0.8705853,-1.2030927,1.2921381,529404
-1.5183737,-0.5883182,-0.3604997,529405
0.77171034,-0.91396534,0.87470216,529406
0.3352759,-0.44480294,1.5100644,529407
0.86323506,-1.2840698,1.070854,529408
0.3401948,1.0873992,0.7322466,529411
-1.6637924,-0.13378729,-1.069772,529412
1.3867133,-0.75092906,-0.026001636,529413
0.48550746,-1.6696253,1.5460885,529414
0.7393385,-0.8776088,2.057097,529415
1.4452583,-1.2947257,0.4772619,529416
-1.7598307,0.11629524,-0.43145192,529417
0.55898046,-0.48309684,0.81241554,529418
0.55023175,-0.7977837,0.69600296,529419
-1.9382911,-0.35417387,-1.0479244,529420
1.5667198,-1.2594125,0.18016933,529421
-0.99536586,0.083991185,-0.9342701,529422
-1.1424739,-0.281085,-0.98581034,529423
-0.65091145,-0.05861043,-1.4271451,529424
-1.2919567,0.22611196,-1.5555246,529425
0.31556776,-1.4545251,1.4465754,529426
-1.5741069,0.048828065,-1.4803755,529427
0.78957194,-1.2595015,0.7490156,529428
-1.6114311,-0.46155185,-2.3482459,529429
1.0185983,-0.5436121,0.9971369,529430
1.205789,-1.8585793,1.4618646,529431
-0.9561627,-0.071360946,-0.44424587,529433
-0.8737004,-0.32873073,-1.5363903,529434
-1.5615773,-0.2585356,-1.4709004,529438
1.4751427,-0.07608976,0.41958946,529439
0.33513758,1.1082913,-0.044716697,529441
-1.6334716,0.37104797,-0.8695361,529444
0.68217117,-0.55780506,0.851798,529447
1.0493164,-0.9472697,0.6249341,529448
-2.023836,0.36802152,-1.2476287,529449
-1.2959616,0.13661297,-1.2188426,529450
0.5575869,-0.4204621,0.39356127,529451
-1.886166,-0.047819465,-1.5640107,529452
0.9728822,-0.77906466,0.763743,529454
-1.6271031,-0.10226946,-1.0769771,529455
-2.376285,-0.03190849,-0.9756622,529456
-1.4230014,-0.4131869,-1.3011287,529457
-1.5078051,-0.5430248,-1.5176908,529458
-0.41376212,-0.3156817,-1.430647,529459
0.5902013,-0.17951941,1.3692279,529460
-0.5394442,0.017745262,0.4092669,529462
0.101462744,-2.5802352,2.0237734,529463
-1.9371036,-0.04001995,-0.987855,529464
-1.747261,-0.09328162,-0.6769877,529465
